cluster,labels,keywords
16,Diffusion Models & Generative AI,"['diffusion', 'generation', 'generative', 'image', 'generate', 'latent', 'sample', 'training', 'distribution', 'noise', 'semantic', 'sampling', 'step', 'flow', 'gan']"
17,Semantic & Medical Image Segmentation,"['segmentation', 'image', 'semantic', 'medical', 'dataset', 'network', 'segment', 'deep', 'instance', 'tumor', 'net', 'feature', 'mask', 'annotation', 'pixel']"
18,"Object Detection, Tracking & 3D Vision","['object', 'detection', 'image', 'scene', 'tracking', 'dataset', 'detector', 'visual', 'feature', 'pose', 'learn', 'segmentation', 'shape', 'track', 'network']"
19,Time Series Forecasting & Trajectory Prediction,"['prediction', 'temporal', 'learning', 'traffic', 'dynamic', 'trajectory', 'machine', 'predict', 'forecasting', 'uncertainty', 'series', 'network', 'learn', 'vehicle', 'dataset']"
20,Speech Recognition & Audio Processing,"['speech', 'recognition', 'audio', 'speaker', 'asr', 'language', 'emotion', 'text', 'word', 'translation', 'acoustic', 'voice', 'train', 'automatic', 'training']"
21,Multilingual NLP & Machine Translation,"['language', 'translation', 'word', 'multilingual', 'resource', 'natural', 'semantic', 'english', 'machine', 'sentence', 'dataset', 'large', 'train', 'embedding', 'text']"
22,Quantum Machine Learning,"['quantum', 'classical', 'machine', 'circuit', 'learning', 'variational', 'neural', 'qubit', 'optimization', 'network', 'state', 'computing', 'parameter', 'classification', 'noise']"
23,3D Reconstruction & Scene Understanding,"['scene', 'view', 'pose', 'depth', 'estimation', 'reconstruction', 'camera', 'image', 'motion', 'gaussian', 'dataset', 'human', 'cloud', 'representation', 'geometry']"
24,Mathematical Optimization & Statistical Learning,"['function', 'optimization', 'gradient', 'matrix', 'linear', 'convergence', 'convex', 'stochastic', 'kernel', 'loss', 'optimal', 'sample', 'bound', 'non', 'rate']"
25,Federated Learning & Privacy-Preserving AI,"['privacy', 'client', 'federate', 'learning', 'communication', 'private', 'local', 'training', 'device', 'distribute', 'gradient', 'preserve', 'machine', 'server', 'federated']"
26,Question Answering & Retrieval-Augmented Generation,"['knowledge', 'question', 'retrieval', 'document', 'query', 'answer', 'information', 'rag', 'entity', 'language', 'generation', 'dataset', 'semantic', 'search', 'augment']"
27,"Explainable AI, Fairness & Human-AI Interaction","['human', 'machine', 'learning', 'bias', 'explanation', 'dataset', 'decision', 'social', 'learn', 'fairness', 'concept', 'generate', 'intelligence', 'metric', 'tool']"
28,Deep Neural Networks & Architecture Design,"['network', 'neural', 'deep', 'architecture', 'layer', 'function', 'learning', 'learn', 'convolutional', 'training', 'train', 'parameter', 'gradient', 'cnn', 'weight']"
29,Natural Language Processing & Text Generation,"['text', 'document', 'generation', 'word', 'language', 'dataset', 'generate', 'classification', 'image', 'human', 'prompt', 'sentence', 'information', 'detection', 'training']"
