,cluster,close_papers
16,16,"['Kuramoto Orientation Diffusion Models', 'Accelerating Redshift-Conditioned Galaxy Image Synthesis with One-step Generative Modeling', 'Normalizing Flows with Iterative Denoising', 'Rectified Flow For Structure Based Drug Design', 'DVD: Discrete Voxel Diffusion for 3D Generation and Editing', 'CryoCCD: Conditional Cycle-consistent Diffusion with Biophysical Modeling for Cryo-EM Synthesis', 'Morse: Dual-Sampling for Lossless Acceleration of Diffusion Models', 'Improving Compositional Generation with Diffusion Models Using Lift Scores', 'TD3B: Transition-Directed Discrete Diffusion for Allosteric Binder Generation', 'InstaRevive: One-Step Image Enhancement via Dynamic Score Matching']"
17,17,"['3D RoI-aware U-Net for Accurate and Efficient Colorectal Tumor\n  Segmentation', 'DoubleU-Net: A Deep Convolutional Neural Network for Medical Image\n  Segmentation', 'ROSE: A Retinal OCT-Angiography Vessel Segmentation Dataset and New\n  Model', 'Assessing Coarse-to-Fine Deep Learning Models for Optic Disc and Cup\n  Segmentation in Fundus Images', 'NightLab: A Dual-level Architecture with Hardness Detection for\n  Segmentation at Night', 'RRWNet: Recursive Refinement Network for effective retinal artery/vein\n  segmentation and classification', 'Automated Grain Boundary (GB) Segmentation and Microstructural Analysis\n  in 347H Stainless Steel Using Deep Learning and Multimodal Microscopy', 'Multi-rater Prism: Learning self-calibrated medical image segmentation\n  from multiple raters', 'An Efficient Instance Segmentation Approach for Extracting Fission Gas\n  Bubbles on U-10Zr Annular Fuel', 'Cell Segmentation in 3D Confocal Images using Supervoxel Merge-Forests\n  with CNN-based Hypothesis Selection']"
18,18,"['Zoom In and Out: A Mixed-scale Triplet Network for Camouflaged Object\n  Detection', 'CenterRadarNet: Joint 3D Object Detection and Tracking Framework using\n  4D FMCW Radar', 'BOP Challenge 2024 on Model-Based and Model-Free 6D Object Pose\n  Estimation', 'BOOTPLACE: Bootstrapped Object Placement with Detection Transformers', 'RTrack: Accelerating Convergence for Visual Object Tracking via\n  Pseudo-Boxes Exploration', 'Probabilistic 3D Multi-Modal, Multi-Object Tracking for Autonomous\n  Driving', 'FreeAnchor: Learning to Match Anchors for Visual Object Detection', 'OPD: Single-view 3D Openable Part Detection', 'Localizing Small Apples in Complex Apple Orchard Environments', 'Finding NeMO: A Geometry-Aware Representation of Template Views for Few-Shot Perception']"
19,19,"['Deep Learning Weather Models for Subregional Ocean Forecasting: A Case Study on the Canary Current Upwelling System', 'Predicting two-dimensional spatiotemporal chaotic patterns with\n  optimized high-dimensional hybrid reservoir computing', 'Data driven weather forecasts trained and initialised directly from\n  observations', 'A Data-Driven Supervised Machine Learning Approach to Estimating Global\n  Ambient Air Pollution Concentrations With Associated Prediction Intervals', 'Cotton Yield Prediction Using Random Forest', 'Winning the Big Data Technologies Horizon Prize: Fast and reliable\n  forecasting of electricity grid traffic by identification of recurrent\n  fluctuations', 'High-throughput validation of phase formability and simulation accuracy of Cantor alloys', 'A Model-driven and Data-driven Fusion Framework for Accurate Air Quality\n  Prediction', 'Comparing skill of historical rainfall data based monsoon rainfall prediction in India with NWP forecasts', 'Robust Predictions with Ambiguous Time Delays: A Bootstrap Strategy']"
20,20,"['VIBEVOICE-ASR Technical Report', 'Bangla-WhisperDiar: Fine-Tuning Whisper and PyAnnote for Bangla Long-Form Speech Recognition and Speaker Diarization', 'Bridging the Gap: Converting Read Text to Conversational Dialogue', 'CORAA: a large corpus of spontaneous and prepared speech manually\n  validated for speech recognition in Brazilian Portuguese', 'RIR-Mega-Speech: A Reverberant Speech Corpus with Comprehensive Acoustic Metadata and Reproducible Evaluation', 'Speak or Chat with Me: End-to-End Spoken Language Understanding System\n  with Flexible Inputs', 'Bringing NURC/SP to Digital Life: the Role of Open-source Automatic\n  Speech Recognition Models', 'Toward Conversational Hungarian Speech Recognition: Introducing the BEA-Large and BEA-Dialogue Datasets', 'Pisets: A Robust Speech Recognition System for Lectures and Interviews', 'AfriVoices-KE: A Multilingual Speech Dataset for Kenyan Languages']"
21,21,"['How to Probe Sentence Embeddings in Low-Resource Languages: On\n  Structural Design Choices for Probing Task Evaluation', 'Feriji: A French-Zarma Parallel Corpus, Glossary & Translator', 'Compositional Evaluation on Japanese Textual Entailment and Similarity', 'LexGen: Domain-aware Multilingual Lexicon Generation', 'Contextual Analysis for Middle Eastern Languages with Hidden Markov\n  Models', 'Neural Polysynthetic Language Modelling', 'Validating and Exploring Large Geographic Corpora', 'Embedding Projection for Targeted Cross-Lingual Sentiment: Model\n  Comparisons and a Real-World Study', 'RuBLiMP: Russian Benchmark of Linguistic Minimal Pairs', 'Syntactic Language Change in English and German: Metrics, Parsers, and\n  Convergences']"
22,22,"['Partitioned Hybrid Quantum Fourier Neural Operators for Scientific Quantum Machine Learning', 'Scalable approach to many-body localization via quantum data', 'An Ensemble Approach for Compressive Sensing with Quantum', 'Learning to predict arbitrary quantum processes', 'Parametric t-Stochastic Neighbor Embedding With Quantum Neural Network', 'Learning quantum many-body data locally: A provably scalable framework', 'Parametrized Quantum Circuit Learning for Quantum Chemical Applications', 'Quantum Data Encoding: A Comparative Analysis of Classical-to-Quantum\n  Mapping Techniques and Their Impact on Machine Learning Accuracy', ""Transforming Bell's Inequalities into State Classifiers with Machine\n  Learning"", 'Towards identifying possible fault-tolerant advantage of quantum linear\n  system algorithms in terms of space, time and energy']"
23,23,"['CAM3R: Camera-Agnostic Model for 3D Reconstruction', 'The Oxford Spires Dataset: Benchmarking Large-Scale LiDAR-Visual Localisation, Reconstruction and Radiance Field Methods', 'CPO: Change Robust Panorama to Point Cloud Localization', 'TC-SfM: Robust Track-Community-Based Structure-from-Motion', 'Multi-View Photometric Stereo: A Robust Solution and Benchmark Dataset\n  for Spatially Varying Isotropic Materials', 'PlanaReLoc: Camera Relocalization in 3D Planar Primitives via Region-Based Structure Matching', 'Thermal odometry and dense mapping using learned odometry and Gaussian splatting', 'Lunar-G2R: Geometry-to-Reflectance Learning for High-Fidelity Lunar BRDF Estimation', 'DGGT: Feedforward 4D Reconstruction of Dynamic Driving Scenes using Unposed Images', 'Any4D: Unified Feed-Forward Metric 4D Reconstruction']"
24,24,"['Additive Models with Trend Filtering', 'A First-Order Algorithmic Framework for Wasserstein Distributionally\n  Robust Logistic Regression', 'The jump set under geometric regularisation. Part 2: Higher-order\n  approaches', 'Parameter-Free Non-Ergodic Extragradient Algorithms for Solving Monotone Variational Inequalities', 'Robust Hierarchical-Optimization RLS Against Sparse Outliers', 'Robust Linear Discriminant Analysis Using Ratio Minimization of\n  L1,2-Norms', 'Beyond the Ideal: Analyzing the Inexact Muon Update', 'Nonconvex Linear System Identification with Minimal State Representation', 'Newton Meets Marchenko-Pastur: Massively Parallel Second-Order\n  Optimization with Hessian Sketching and Debiasing', 'A Truncated Newton Method for Optimal Transport']"
25,25,"['Enhancing Privacy in Federated Learning: Secure Aggregation for\n  Real-World Healthcare Applications', 'Scalable and Differentially Private Distributed Aggregation in the\n  Shuffled Model', 'Enhancing the Privacy of Federated Learning with Sketching', 'Perfectly-Private Analog Secure Aggregation in Federated Learning', 'Privacy-Preserving Federated Learning Framework for Distributed Chemical Process Optimization', 'Federated Collaborative Filtering for Privacy-Preserving Personalized\n  Recommendation System', 'Secure and Efficient Federated Learning in LEO Constellations using\n  Decentralized Key Generation and On-Orbit Model Aggregation', 'Exploring Federated Unlearning: Review, Comparison, and Insights', 'RaftFed: A Lightweight Federated Learning Framework for Vehicular Crowd\n  Intelligence', 'CRS-FL: Conditional Random Sampling for Communication-Efficient and\n  Privacy-Preserving Federated Learning']"
26,26,"['Autofocus Retrieval: An Effective Pipeline for Multi-Hop Question Answering With Semi-Structured Knowledge', 'Learning to Retrieve Engaging Follow-Up Queries', 'CUB: Benchmarking Context Utilisation Techniques for Language Models', 'Generate rather than Retrieve: Large Language Models are Strong Context\n  Generators', 'EWEK-QA: Enhanced Web and Efficient Knowledge Graph Retrieval for\n  Citation-based Question Answering Systems', 'A Benchmark for Gap and Overlap Analysis as a Test of KG Task Readiness', 'Coarse-to-Fine Highlighting: Reducing Knowledge Hallucination in Large\n  Language Models', 'Tagging-Augmented Generation: Assisting Language Models in Finding Intricate Knowledge In Long Contexts', 'GeoGPT-RAG Technical Report', 'Conversational Recommendation as Retrieval: A Simple, Strong Baseline']"
27,27,"['Artificial Intelligence for the Electron Ion Collider (AI4EIC)', 'What Work is AI Actually Doing? Uncovering the Drivers of Generative AI Adoption', 'Unpacking Human-AI Interaction in Safety-Critical Industries: A\n  Systematic Literature Review', 'The Hardness of Achieving Impact in AI for Social Impact Research: A Ground-Level View of Challenges & Opportunities', 'Modeling Progress in AI', 'A Fuzzy Approach to Project Success: Measuring What Matters', 'User Localization Based on Call Detail Records', 'RelAItionship Building: Analyzing Recruitment Strategies for Participatory AI', 'On the use of Aggregation Operators to improve Human Identification using Dental Records', 'AI Deception: A Survey of Examples, Risks, and Potential Solutions']"
28,28,"['Deep Learning for Decoding of Linear Codes - A Syndrome-Based Approach', 'Generalizing Pooling Functions in Convolutional Neural Networks: Mixed,\n  Gated, and Tree', 'Investigation of Proper Orthogonal Decomposition for Echo State Networks', 'Improving Deep Neural Network Random Initialization Through Neuronal\n  Rewiring', 'GAIT-prop: A biologically plausible learning rule derived from\n  backpropagation of error', 'BCNN: Binary Complex Neural Network', 'Time Regularization in Optimal Time Variable Learning', 'Input Specific Neural Networks', 'Unsupervised Pretraining Encourages Moderate-Sparseness', 'NESTANets: Stable, accurate and efficient neural networks for\n  analysis-sparse inverse problems']"
29,29,"['Exploiting Summarization Data to Help Text Simplification', 'Standardizing the Measurement of Text Diversity: A Tool and a Comparative Analysis of Scores', 'Cloning Ideology and Style using Deep Learning', 'Life is a Circus and We are the Clowns: Automatically Finding Analogies\n  between Situations and Processes', 'A State-of-the-Art Morphosyntactic Parser and Lemmatizer for Ancient\n  Greek', 'The Factual Inconsistency Problem in Abstractive Text Summarization: A\n  Survey', 'Jointly Dynamic Topic Model for Recognition of Lead-lag Relationship in\n  Two Text Corpora', 'Keyphrase Based Evaluation of Automatic Text Summarization', 'One Embedder, Any Task: Instruction-Finetuned Text Embeddings', 'Automatic Summarization of Russian Texts: Comparison of Extractive and\n  Abstractive Methods']"
